!!SBtab	SBtabVersion='0.9.1' TableID='Reaction' TableType='Reaction' TableName='transformed standard Gibbs free energies of reaction, dG0_prime' QuantityType='standard Gibbs free energy of reaction' Unit='kJ/mol' pH='7.0' Temperature='298.15' TemperatureUnit='kelvin' 'IonicStrength='0.1' IoniStrengthUnit='mM' UniqueKeys='False'			
!Identifiers:kegg.reaction	!Mean	   !Std	!Comment
R00747	-74.8	14.3	
R00748	-39.6	5.0	
R00749	-36.1	6.8	
R00750	-10.2	3.5	
R00751	9.9	4.4	
R00753	23.3	3.7	
R00754	21.7	0.6	
R00755			uncertainty is too high
R00756	-15.0	1.3	
R00758	11.3	2.4	
R00760	-14.7	1.2	
R00761	-49.9	4.0	
R00762	-11.4	1.4	
R00763	-31.9	5.9	
R00764	-4.4	1.4	
R00765	2.3	4.1	
R00766	3.4	6.1	
R00767	-14.4	4.7	
R00768	-13.7	4.4	
R00769	-12.6	2.8	
R00770	-18.7	3.1	
R00771	2.5	0.8	
R00772	-0.7	2.3	
R00774	27.4	11.0	
R00775	-28.3	13.8	
R00776	5.1	3.4	
R00777	-62.9	11.5	
R00778			uncertainty is too high
R00781	-346.3	10.2	
R00782	-2.7	8.5	
R00783			uncertainty is too high
R00784			uncertainty is too high
R00785			uncertainty is too high
R00787			uncertainty is too high
R00789			uncertainty is too high
R00790	461.5	35.6	
R00791	167.6	14.3	
R00792			uncertainty is too high
R00793			uncertainty is too high
R00794	145.7	8.3	
R00796	146.6	8.3	
R00798			uncertainty is too high
R00799			uncertainty is too high
R00800	-168.6	17.4	
R00801	-24.8	2.5	
R00802	-24.8	2.5	
R00803	-8.3	2.0	
R00804			uncertainty is too high
R00805	-15.2	5.9	
R00806	-0.0	2.0	
R00807	-9.6	8.9	
R00808			uncertainty is too high
R00809	-21.0	9.1	
R00810	-17.6	5.3	
R00811			uncertainty is too high
R00812	-78.5	23.0	
R00813	-88.9	24.0	
R00814	-77.5	23.0	
R00815	-443.3	15.3	
R00816	-256.1	11.5	
R00817	-309.4	11.7	
R00818	-453.4	15.6	
R00821	-11.1	17.5	
R00822	-11.1	17.5	
R00823	-475.2	15.6	
R00825	-476.2	15.6	
R00827			uncertainty is too high
R00828			uncertainty is too high
R00829			uncertainty is too high
R00830	16.1	8.2	
R00832	-15.6	11.2	
R00833	-7.6	4.1	
R00834	14.2	3.4	
R00835	-2.3	2.6	
R00836	-15.2	3.7	
R00837	-9.7	3.8	
R00838	-19.1	4.8	
R00839	-19.1	4.8	
R00841	-10.8	4.1	
R00842	26.4	1.5	
R00844	27.4	1.6	
R00845	32.9	1.9	
R00846	-107.0	8.4	
R00847	-15.6	4.1	
R00848	9.4	6.1	
R00849			uncertainty is too high
R00850	-1.7	4.1	
R00851			uncertainty is too high
R00853	-9.4	5.3	
R00854	-14.4	5.3	
R00855	-36.1	17.0	
R00856	2.9	3.3	
R00857			uncertainty is too high
R00858	129.2	9.4	
R00859	192.2	36.1	
R00860			uncertainty is too high
R00861			uncertainty is too high
R00863			uncertainty is too high
R00864			uncertainty is too high
R00865			uncertainty is too high
R00866	-15.5	2.6	
R00867	-14.7	1.2	
R00868	10.4	2.4	
R00870	11.4	2.4	
R00871	13.6	4.0	
R00872	-34.2	5.0	
R00873			uncertainty is too high
R00874	-15.6	3.0	
R00875	12.2	1.9	
R00876	-18.4	3.1	
R00877	-2.8	1.8	
R00878	-0.1	0.6	
R00880	-9.2	6.9	
R00881	-27.3	6.9	
R00883	4.3	6.4	
R00885	-3.8	5.8	
R00888	-51.3	7.9	
R00889	1.7	5.8	
R00890	251.2	7.4	
R00891	-26.0	8.5	
R00892	-5.8	13.0	
R00893			uncertainty is too high
R00894	-31.4	9.5	
R00895	-16.9	9.1	
R00896	-10.2	9.3	
R00897	-49.2	10.4	
R00899	6.9	9.5	
R00900	10.8	8.5	
R00901			uncertainty is too high
R00903	-9.5	8.5	
R00904	-41.3	11.8	
R00905	-57.4	13.8	
R00906	30.6	12.7	
R00907	4.0	5.8	
R00908	-4.2	5.9	
R00909	-13.9	11.0	
R00910	-33.8	11.4	
R00911	-0.7	16.3	
R00912	-22.3	15.3	
R00913	-64.0	15.2	
R00914	-1604.4	18.5	
R00915	-311.4	12.3	
R00916			uncertainty is too high
R00917			uncertainty is too high
R00918	-171.3	66.0	
R00919	62.4	6.5	
R00920	14.2	5.8	
R00921	18.0	6.5	
R00922	-27.8	8.5	
R00923	-19.6	11.8	
R00924	44.4	8.7	
R00925	6.2	5.8	
R00926			uncertainty is too high
R00927	32.1	5.6	
R00928	10.6	5.9	
R00930	-2.3	10.4	
R00931	39.1	8.6	
R00932	38.3	7.7	
R00934	-14.3	6.0	
R00935	-28.6	9.2	
R00936	26.4	2.3	
R00937	46.0	7.4	
R00939	27.3	2.2	
R00940	47.9	7.3	
R00941	-34.7	7.0	
R00942	-27.5	6.0	
R00943	-4.9	3.8	
R00944	-21.6	3.9	
R00945	6.5	2.5	
R00946	-10.2	10.2	
R00947	-16.6	1.6	
R00948	-7.9	2.7	
R00949	-16.0	6.1	
R00951	-26.5	2.7	
R00952	3.6	3.4	
R00953	2.6	5.8	
R00954	2.2	5.8	
R00955	-2.9	3.4	
R00956	-0.7	4.1	
R00957	-18.6	3.7	
R00959	-7.4	1.5	
R00960	-6.1	6.6	
R00961	6.1	6.5	
R00962	-14.9	6.2	
R00963	-9.9	8.2	
R00964	-16.5	8.2	
R00965	-30.1	16.9	
R00966	13.8	8.6	
R00967	-14.2	9.5	
R00968	-14.1	8.6	
R00969	-38.3	38.5	
R00970	-20.3	8.7	
R00973	-19.4	14.8	
R00974	-30.0	14.2	
R00975	-131.7	10.9	
R00976			uncertainty is too high
R00977	1.8	7.3	
R00978	2.7	7.3	
R00979			uncertainty is too high
R00980	-465.1	14.2	
R00982	-9.5	11.6	
R00983	-446.5	18.3	
R00984			uncertainty is too high
R00985	-63.9	13.7	
